,zip codes,slope,intercept
182,76014,1.7730896709075022e-13,-109938.02336077655
183,75238,4.0908584092178785e-13,-230384.19540517242
184,78229,1.2601873521657227e-13,-48826.729701934135
185,77017,1.0707447718378613e-13,-33008.65784614293
186,77530,1.3048005049856935e-13,-58452.97180151187
187,76001,2.1664933362501839e-13,-103308.65162188868
188,77301,1.4713461186670111e-13,-64147.236388446545
189,75214,4.845233862686662e-13,-227975.41656244936
190,78217,1.578427632016504e-13,-75352.60790446993
191,78211,8.972494916197804e-14,-32458.495097495907
192,77477,1.7720805010634862e-13,-76483.18036399348
193,75232,1.5858723129276585e-13,-94637.88948906848
194,77079,4.740919274182782e-13,-241081.53530058335
195,77067,1.0182564254540445e-13,-14080.976839133451
196,78242,1.0900459070571523e-13,-41725.27255830166
197,77536,1.6992914790417518e-13,-68446.86498380138
198,77053,8.82738165440865e-14,-5386.410965667383
199,77066,1.36755227329351e-13,-44811.553421921824
200,75229,4.2301188051757535e-13,-206291.13902328623
201,77086,1.2129205979655993e-13,-41222.93555386242
202,77047,1.234818367913537e-13,-25774.459212163725
203,79904,6.276800553205997e-14,16807.30163866676
204,76117,1.5394615309962227e-13,-92574.46720464976
205,75038,2.654326396887151e-13,-107491.6618338369
206,77041,1.6484769080104978e-13,-46634.45559658465
207,76107,2.9158281099687617e-13,-181863.9209251312
208,76110,1.452963714522673e-13,-74967.271507306
209,75241,1.0186766027232408e-13,-30572.57895472295
210,77033,7.490737814438378e-14,-7448.078090091483
211,75089,2.487695301500265e-13,-126736.8438922962
212,77016,9.583324475004384e-14,-38209.938321626134
213,76018,1.919318567996989e-13,-108163.02627678507
214,77566,1.704342456793396e-13,-67242.37819411705
215,75901,1.0755409401195938e-13,-50609.41938569202
216,76016,2.1300574695218042e-13,-97425.09661874897
217,77038,1.1650746557748526e-13,-31748.901139790905
218,77071,1.265007366731212e-13,-29939.950055680674
219,75208,3.841475397917374e-13,-313706.8083491754
220,78212,2.7432553497260735e-13,-158248.74089862366
221,75204,3.2025400316170166e-13,-121761.50848181982
222,79930,7.417939106561421e-14,-1228.3792906062445
223,77091,1.3078775553274167e-13,-51143.64868611442
224,77598,1.7540119115736993e-13,-95059.25507094519
225,78750,4.969719003207645e-13,-314310.95507736236
226,77532,1.7004714485148886e-13,-70646.87051329366
227,78244,1.3729166551486746e-13,-51961.60409186917
228,77039,1.1248995289973181e-13,-45734.8291455743
229,77022,1.4845714948336475e-13,-81518.2398447424
230,76140,1.3765578175989644e-13,-57167.77729158872
231,77020,8.968833284246213e-14,-19438.077084266028
232,78705,2.5889810119357043e-13,-82194.86676072009
233,79932,1.1670177593039645e-13,25224.72788961709
234,76114,1.563916703102504e-13,-97600.59769595927
235,76132,2.29147316625858e-13,-43935.92820324091
236,77023,2.1735785989176286e-13,-136180.6825378548
237,76020,1.9875509006791463e-13,-99552.6979746691
238,77545,1.270527965876399e-13,-328.2925649546669
239,77578,2.2124969843596264e-13,-52492.59745807489
240,78746,1.3386665325127984e-12,-840134.8523745055
241,78023,2.3730912016962154e-13,-42582.12285831157
242,76012,2.0393007071772965e-13,-87364.9376413606
243,78727,4.253947210352662e-13,-306491.95733723533
244,76209,2.1231480357099055e-13,-132343.7120266284
245,78214,1.1967196862811247e-13,-65470.08190116922
246,77357,1.7600480420666671e-13,-75518.54560394032
247,76034,4.695938601275373e-13,-143043.9553931029
248,75230,5.253529118717121e-13,-200282.4651563663
249,76134,1.6596910292296243e-13,-96940.14652941516
250,77061,1.6418779532042978e-13,-90316.17878697383
251,77062,1.9464148003194534e-13,-73420.78475369132
252,78239,1.4228770038274413e-13,-54162.031838568684
253,77478,2.563908453123962e-13,-80979.57518769571
254,75240,2.551726340285801e-13,-120676.20400172024
255,78238,1.54358499803738e-13,-75037.91230923696
256,78260,2.5846403699098787e-13,-38966.88110928098
257,77005,1.0988588128015511e-12,-522845.59575193457
258,77380,2.1864996802219217e-13,-78246.63925230471
259,78222,1.4626393558274857e-13,-63627.89093566696
260,78653,1.7439019546145273e-13,-34614.83476412957
261,75212,1.3947286861055443e-13,-69657.94154122651
262,77503,1.3060277074595532e-13,-60747.14378467972
263,78731,8.270140321556774e-13,-506653.44834188756
264,78729,3.872225621896673e-13,-259202.68698790515
265,77385,1.91668323108321e-13,-60493.7521084332
266,77504,1.645805862566232e-13,-69197.90556880203
267,78724,2.7906371755938195e-13,-191761.22354583783
268,77356,1.9404765719426895e-13,-30103.11028514235
269,76208,2.538540769087442e-13,-104013.68768147906
270,75252,3.5617821560762147e-13,-143860.97081934375
271,76135,1.8330436448217802e-13,-100599.92282165139
272,79934,8.502128269591222e-14,30042.24525201181
273,75219,2.261436274575634e-13,-49812.821278611664
274,75036,3.50065290560517e-13,-162219.11600763263
275,75078,4.612885376896929e-13,-230331.60442272073
276,75205,1.0928915955297963e-12,-437030.3983083172
277,78754,2.5681500722415477e-13,-124072.6697744177
278,78617,1.7939780666931733e-13,-65728.33911245089
279,75094,3.322465387078869e-13,-127104.66092078952
280,75180,1.3421853024029302e-13,-68920.79946088388
281,77037,1.0532016906122573e-13,-26723.975749479112
282,77345,2.183275073427989e-13,-38319.97770534165
283,77021,1.0354530627270341e-13,-17469.035935332315
284,76126,2.176141861639652e-13,-94065.86331398867
285,77384,2.3199108798042965e-13,-42179.41423210496
286,75218,3.7550110216709264e-13,-216081.22105182096
287,76105,4.817305302068399e-14,23787.19174058023
288,77505,1.8410551727757105e-13,-65488.947483647295
289,75048,2.674984249419708e-13,-121384.43072931975
290,77043,3.059793109456129e-13,-195612.48444491677
291,77019,4.224532296521902e-13,-99093.21015125606
292,76109,4.2822769383730735e-13,-216352.13587300875
293,75146,1.4961056933603134e-13,-53124.508567834506
294,75082,3.1680196654384377e-13,-120855.6656248981
295,78703,1.0990135343500257e-12,-647844.6790429484
296,75159,1.527428937254129e-13,-62628.78176483669
297,76011,1.540543380769879e-13,-82055.19223393315
298,75225,1.0266382637594396e-12,-361124.41824249155
299,78224,1.364977481914484e-13,-53552.209446120774
300,79905,6.414855672806147e-14,-2564.0952347642597
301,78728,3.4074572723104197e-13,-221042.70726473437
302,78739,5.583781839213406e-13,-315424.64037989534
303,75253,1.3502252885770932e-13,-49497.601955254795
304,76111,1.3808488409502324e-13,-77878.07179497313
305,78148,1.6871564988942563e-13,-64200.80524386495
306,77056,3.78280679977792e-13,-5027.671947820287
307,78752,4.4460470751827365e-13,-352445.6944405061
308,76115,1.1177208674035619e-13,-57822.53478016387
309,77006,3.9466706635638144e-13,-148502.8014988493
310,75134,1.5094566873079342e-13,-70969.05897742204
311,77027,5.141911434453635e-13,-169438.87504257704
312,77302,1.9199577770938743e-13,-90548.42238678431
313,77401,6.804928731015586e-13,-162643.85236017348
314,76052,2.6517788544078726e-13,-123113.9414853444
315,78259,2.1285078629666667e-13,-45245.92542881452
316,75116,1.7672203666747058e-13,-105549.58250392824
317,77026,5.4300621188369724e-14,21190.89623066678
318,77029,9.183640833299065e-14,-35743.62102689115
319,75236,1.7664759129258734e-13,-101405.81761496858
320,76008,3.264889087386798e-13,-133614.31219350488
321,77069,1.642244166155831e-13,528.2717039062991
322,79902,1.4314517098630219e-13,-29919.724992447882
323,77048,9.141486758638605e-14,-587.2499447697628
324,77085,1.3123998786117576e-13,-48850.335156759
325,79403,5.232713220419134e-14,-20305.614364809036
326,78735,5.985438278225812e-13,-314013.2925547732
327,77028,6.023322020124345e-14,10550.078106620073
328,77012,1.115205403911565e-13,-53846.976734105236
329,78734,4.215148425983251e-13,-173230.85165952222
330,78219,1.2488530369889366e-13,-69249.86168194617
331,76104,5.323458271001859e-14,28331.379256747154
332,77051,4.2853176217213025e-14,54552.57696549854
333,76120,1.9123084679785185e-13,-93799.42946325164
334,77447,2.1119160664077645e-13,-103397.19463296144
335,78747,2.559155395332791e-13,-112018.14409781847
336,78738,5.361381616383592e-13,-201428.81523117673
337,77011,1.4211570104226264e-13,-75240.52406472538
338,77013,1.2902247867300363e-13,-68742.74573715133
339,77031,1.230998589741293e-13,-12235.349381659908
340,78737,5.525465365548983e-13,-322498.8244758608
341,76266,2.2708440673796227e-13,-119210.8727689425
342,77328,1.4981672100708237e-13,-72912.01163825193
343,77378,1.4097373521332298e-13,-57073.447989868524
344,75009,3.582771795884902e-13,-189183.83525804797
345,75137,1.5554570252679047e-13,-57145.56530765828
346,75409,2.1859487185377766e-13,-103234.98477672297
347,78220,1.141200189040995e-13,-61524.42224992643
348,77587,1.184631056527451e-13,-48710.279269465376
349,75203,9.946768082438368e-14,-28767.826270949503
350,75233,2.224790818595203e-13,-152826.51386991164
351,75215,2.3783997730583715e-14,63024.049878012054
352,76118,2.1681028942816366e-13,-126538.13500653618
353,76015,1.8663461261365668e-13,-108231.25499892049
354,78255,2.592525550748573e-13,-10481.634924064856
355,76177,2.0061214140343846e-13,-45313.83154590498
356,76247,2.4491587342143154e-13,-126086.1297724978
357,79935,1.0695606743958288e-13,-6822.1464823407005
358,75223,1.6804082735169463e-13,-89547.47807517702
359,79412,4.146892450923375e-14,32043.77926730019
360,76103,1.240408436651556e-13,-55773.24624951137
361,75407,2.1736581501304745e-13,-111403.5388492358
362,77032,1.2172168613476594e-13,-62931.017105014966
363,75235,1.5623618914031712e-13,-56579.95283636826
364,76164,1.1260561229177359e-13,-55545.154228418876
365,75249,1.5697912970008568e-13,-54883.942374706676
366,79903,6.988412402905328e-14,3202.2751586369995
367,77422,1.6207719748393557e-13,-82342.31339301913
368,75201,6.644770687549138e-13,-239937.48440634517
369,78732,5.031423481763416e-13,-197891.79052675347
370,77461,1.7051188813917976e-13,-46104.872150060604
371,77531,1.4798509211499914e-13,-72386.42835910064
372,78015,3.405485657185996e-13,-71743.52943461778
373,75001,2.8301803751319886e-13,-100885.0633404362
374,75209,5.337798422938703e-13,-224955.35585975042
375,77078,8.832678735081995e-14,-24647.18040401768
376,77098,4.776102764648318e-13,-187367.0251659269
377,78225,9.252942429510753e-14,-36794.59013124963
378,78261,2.268628921667272e-13,-35528.66209391132
379,79849,2.7066407429642337e-14,68653.13221117143
380,78730,6.769683090862907e-13,-254217.95816800452
381,77030,3.5922313338528653e-13,-93788.42904738692
382,75244,4.4819477720593834e-13,-242980.94709495886
383,77336,1.6814266903567042e-13,-46670.58712708621
384,78252,1.1190294656405935e-13,6066.004935530102
385,77562,1.4703439249292338e-13,-72557.94017913206
386,77094,3.162453725418746e-13,-85658.87059821928
387,78721,4.208781650489441e-13,-316617.7286824174
388,78726,5.086074986317682e-13,-263582.4648840432
389,77068,1.483340775130652e-13,-2283.505732326157
390,78248,2.841918421831127e-13,-71916.17318390502
391,78264,1.5181619375188398e-13,-68136.72165647926
392,77372,1.4809916708886562e-13,-68424.72168652085
393,76054,2.567606967194962e-13,-118259.62557253707
394,75182,3.2986271332244494e-13,-75836.99064685608
395,75065,2.6425416457239383e-13,-151041.13468628578
396,78733,8.432138565793146e-13,-490906.1242306413
397,77306,1.6339174789351664e-13,-90024.85247219446
398,78645,2.6685988937825557e-13,-97237.76071802861
399,78202,1.4195603273081116e-13,-76899.25096279423
400,77441,3.6358698429925854e-13,-136016.86141170096
401,78256,2.736189952324089e-13,9689.997999536106
402,75210,-1.2629468589270408e-14,105867.64206137114
403,75442,2.4040208459647413e-13,-142243.23802018288
404,79835,3.175415147123281e-14,82214.01377073546
405,78231,2.723869785621193e-13,-103982.57425222869
406,78756,6.296762329226279e-13,-394938.924781541
407,78669,4.3929576092980666e-13,-183717.39154038287
408,79901,3.8940788508403485e-14,26589.360068029215
409,78736,4.579668582858483e-13,-283171.3781734232
410,76102,1.1302652578733007e-13,47559.521531504695
411,75454,2.6016634252805643e-13,-103435.42178902496
412,77547,8.588616954984278e-14,-22657.545549058428
413,75949,1.4177175981747435e-13,-91250.53205774231
414,78257,4.0694267163365164e-13,15350.215356441448
415,79922,1.826835404851127e-13,-11304.857573604066
416,75941,9.272221123907053e-14,-40759.74061400545
417,78112,1.5657985903874426e-13,-74660.4656161349
418,76060,2.2992713177526895e-13,-98970.55896601049
419,78725,2.1893120686950822e-13,-118336.18996152328
420,78652,3.7268595896237656e-13,-215025.7756376774
421,77480,1.7501744527470984e-13,-106764.78549101466
422,79401,7.515910895647675e-14,-13061.365930287313
423,78073,1.2706272442944765e-13,-38667.70963454299
424,77486,1.749262719501571e-13,-98220.86175410067
425,76249,2.259320392159875e-13,-123454.76466958775
426,78226,1.0240581596707278e-13,-47668.3277827533
427,79411,5.270532265659728e-14,-7864.2722889137
428,78203,1.5479922428729975e-13,-100455.99027779275
429,79821,4.781290824064713e-14,63873.49621330812
430,78101,3.3840306237015057e-13,-198820.31778916254
431,77362,2.2625935856290882e-13,-85096.87969187187
432,76258,2.7576476796521886e-13,-170672.65724954262
433,79838,3.686540275055753e-15,86585.78650050415
434,78002,2.0730933095397914e-13,-115357.90042791856
435,79836,-4.537629908702179e-16,128837.11128113519
436,75141,1.3383757762848128e-13,-71865.81484100051
437,77485,1.1385077316081574e-13,15893.401138201647
438,78208,2.324313082602033e-13,-184416.3854134091
439,77050,8.759553478534897e-14,-8585.163236385779
440,75173,2.3022028739154914e-13,-108575.47263200887
441,76259,2.512959482570756e-13,-123766.99073878082
442,76462,2.839194418213578e-13,-149925.14675869275
443,75202,1.2383088519674082e-13,49973.55762666775
444,78263,2.843734040590054e-13,-152486.11007608264
445,79311,7.672506306128208e-14,-18128.229021038293
446,77430,2.0715063099477347e-13,-100262.61213609594
447,76476,2.530868923978687e-13,-163728.27097788735
448,78719,2.349263431651364e-13,-129140.89481628727
449,78215,3.0008921074676296e-13,-160729.9222498551
450,75424,2.8477833244807097e-13,-171303.30042619645
451,79329,1.4168314290384998e-13,-56781.20316859815
452,75166,2.3474073166030227e-13,-104049.68200395466
453,75172,4.776814790970905e-14,39017.53552376219
454,75246,2.5156996705277966e-13,-124418.77715187508
455,78742,2.98504871483935e-13,-217514.97573117292
456,77417,1.113994478325061e-13,-631.7863801298372
457,78152,2.6936442973289573e-13,-153219.00706455443
458,77534,1.8442579829816243e-13,-99319.90310635601
459,77873,2.76427890132171e-13,-157826.86721307127
460,77444,1.2689895477224706e-13,-11384.048976487073
461,77046,2.335417312140719e-13,-60592.18543828922
462,77464,7.12025480090515e-14,100271.58339297495
463,77476,1.5815532186622383e-13,64762.9631647146
